                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.41058,                 0.2892,                0.88484,                0.99893,                      1,                  0.995,                0.94285,                0.43117,                0.20822,                0.90772,               0.000317,               0.000317,               0.000317
                     87,                0.42778,                0.29773,                0.88958,                0.99888,                      1,                  0.995,                0.94557,                0.42851,                0.20544,                0.90079,              0.0002972,              0.0002972,              0.0002972
                     88,                0.40948,                0.28042,                0.88314,                0.99882,                      1,                  0.995,                0.93817,                0.44152,                0.21423,                0.90767,              0.0002774,              0.0002774,              0.0002774
                     89,                0.40779,                0.28456,                0.88164,                0.99907,                      1,                  0.995,                0.93675,                0.43186,                0.21486,                0.90375,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.4025,                0.27676,                0.88397,                0.99881,                      1,                  0.995,                 0.9567,                0.43394,                0.20889,                0.91097,              0.0002378,              0.0002378,              0.0002378
                     91,                0.36381,                0.22761,                0.87694,                0.99882,                      1,                  0.995,                  0.936,                0.43583,                0.22353,                0.91171,               0.000218,               0.000218,               0.000218
                     92,                0.34547,                0.22153,                0.87157,                0.99885,                      1,                  0.995,                0.93542,                 0.4414,                0.21328,                0.91124,              0.0001982,              0.0001982,              0.0001982
                     93,                0.35265,                0.21955,                0.87724,                0.99888,                      1,                  0.995,                0.94159,                0.44875,                0.21896,                0.91284,              0.0001784,              0.0001784,              0.0001784
                     94,                0.34853,                0.22012,                0.87977,                0.99887,                      1,                  0.995,                0.93629,                0.44106,                0.21425,                 0.9066,              0.0001586,              0.0001586,              0.0001586
                     95,                0.32439,                0.20898,                0.85465,                0.99884,                      1,                  0.995,                0.93756,                0.46074,                0.21925,                0.91188,              0.0001388,              0.0001388,              0.0001388
                     96,                0.32394,                0.20875,                0.85115,                 0.9988,                      1,                  0.995,                0.93465,                0.45729,                0.21513,                0.91122,               0.000119,               0.000119,               0.000119
                     97,                0.30848,                0.20207,                0.84908,                0.99877,                      1,                  0.995,                0.94066,                 0.4431,                0.21121,                 0.9113,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.30759,                0.20022,                0.85151,                0.99882,                      1,                  0.995,                0.93705,                0.45501,                0.21365,                0.91551,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.31684,                0.20601,                0.86078,                0.99879,                      1,                  0.995,                0.94762,                0.45098,                0.21528,                0.91527,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.3064,                0.20404,                0.85823,                0.99876,                      1,                  0.995,                0.95171,                0.45577,                0.21923,                0.91188,               3.98e-05,               3.98e-05,               3.98e-05
